,Berkshire Hathaway,S&P 500 Index
1965-12-31,49.5,10.0
1966-12-31,-3.4,-11.7
1967-12-31,13.3,30.9
1968-12-31,77.8,11.0
1969-12-31,19.4,-8.4
1970-12-31,-4.6,3.9
1971-12-31,80.5,14.6
1972-12-31,8.1,18.9
1973-12-31,-2.5,-14.8
1974-12-31,-48.7,-26.4
1975-12-31,2.5,37.2
1976-12-31,129.3,23.6
1977-12-31,46.8,-7.4
1978-12-31,14.5,6.4
1979-12-31,102.5,18.2
1980-12-31,32.8,32.3
1981-12-31,31.8,-5.0
1982-12-31,38.4,21.4
1983-12-31,69.0,22.4
1984-12-31,-2.7,6.1
1985-12-31,93.7,31.6
1986-12-31,14.2,18.6
1987-12-31,4.6,5.1
1988-12-31,59.3,16.6
1989-12-31,84.6,31.7
1990-12-31,-23.1,-3.1
1991-12-31,35.6,30.5
1992-12-31,29.8,7.6
1993-12-31,38.9,10.1
1994-12-31,25.0,1.3
1995-12-31,57.4,37.6
1996-12-31,6.2,23.0
1997-12-31,34.9,33.4
1998-12-31,52.2,28.6
1999-12-31,-19.9,21.0
2000-12-31,26.6,-9.1
2001-12-31,6.5,-11.9
2002-12-31,-3.8,-22.1
2003-12-31,15.8,28.7
2004-12-31,4.3,10.9
2005-12-31,0.8,4.9
2006-12-31,24.1,15.8
2007-12-31,28.7,5.5
2008-12-31,-31.8,-37.0
2009-12-31,2.7,26.5
2010-12-31,21.4,15.1
2011-12-31,-4.7,2.1
2012-12-31,16.8,16.0
2013-12-31,32.7,32.4
2014-12-31,27.0,13.7
2015-12-31,-12.5,1.4
2016-12-31,23.4,12.0
2017-12-31,21.9,21.8
2018-12-31,2.8,-4.4
2019-12-31,11.0,31.5
2020-12-31,2.4,18.4
